抓取時間,超連結,物件標題,物件價格,格局,地址 , 物件類型 , 屋齡 , 樓層,,,
2024/11/28 00:22,https://www.hbhousing.com.tw/detail/?sn=ZS188414&pi=1&st=&si=1&spu=khhabkf,FZ8專任！北投低總3房,958萬,3房2廳1衛24.56坪(建坪),台北市北投區中和街 , 公寓 , 49.8年 , 4 / 4樓,,,
2024/11/28 00:22,https://www.hbhousing.com.tw/detail/?sn=YS178113&pi=1&st=&si=5&spu=iiaabkk,山居生活景觀套房,488萬,1房1廳1衛17.41坪(建坪),台北市北投區泉源路 , 華廈 , 42.8年 , B1 / 7樓,,,
2024/11/28 00:22,https://www.hbhousing.com.tw/detail/?sn=ZS188158&pi=1&st=&si=6&spu=jfkabkd,K9文大格致收租美寓,1698萬,10房8衛31.9坪(建坪),台北市士林區格致路 , 公寓 , 43.8年 , 5 / 5樓,,,
2024/11/28 00:22,https://www.hbhousing.com.tw/detail/?sn=YS177518&pi=1&st=&si=7&spu=hfjebkd,雲端H24合併戶,2750萬,降價2688,台北市北投區中央南路二段 , 大樓 , 9.3年 , 10 / 19樓,,,
2024/11/28 00:22,https://www.hbhousing.com.tw/detail/?sn=ZS187712&pi=1&st=&si=8&spu=hhkabkd,K3高投報隔套收租美屋,1288萬,4房0廳4衛32.78坪(建坪),台北市萬華區昆明街 , 公寓 , 53年 , 2 / 4樓,,,
2024/11/28 00:22,https://www.hbhousing.com.tw/detail/?sn=YS177447&pi=1&st=&si=10&spu=gfkebkd,文藝青庭3房新廈,2998萬,降價2798,台北市北投區稻香路 , 華廈 , 14.8年 , 3 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178118&pi=2&st=&si=1&spu=ifkabkd,捷運出口電梯二房,1180萬,2房2廳1衛19.67坪(建坪),台北市北投區溫泉路 , 大樓 , 46.8年 , 12 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187998&pi=2&st=&si=2&spu=ifkabkd,H7文山維也納極美四房車,4180萬,4房3廳3衛79.62坪(建坪),台北市文山區景興路 , 華廈 , 28.3年 , B1-1 / 8樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS177820&pi=2&st=&si=3&spu=hgjabkd,舒適寧靜邊間採光三房,1780萬,3房2廳2衛39.18坪(建坪),台北市北投區民族街 , 公寓 , 43.6年 , 5 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188231&pi=2&st=&si=5&spu=kckabkd,D8牯嶺公園獨棟邊間美廈,3180萬,2房2廳2衛37.88坪(建坪),台北市中正區牯嶺街 , 華廈 , 39年 , 3 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188018&pi=2&st=&si=6&spu=jdkabkd,BZ5全新金銀美妝二房,1388萬,2房2廳1衛17.44坪(建坪),台北市中山區林森北路 , 大樓 , 42.5年 , 6 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS37861&pi=2&st=&si=7&spu=jdkabkd,和平美雅寓,2180萬,3房2廳2衛29.56坪(建坪),台北市信義區和平東路三段 , 公寓 , 47.8年 , 5 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188371&pi=2&st=&si=8&spu=keaabkd,萬隆捷運小品,1788萬,3房2廳1衛25.89坪(建坪),台北市文山區羅斯福路五段 , 公寓 , 41.4年 , 4 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178782&pi=2&st=&si=9&spu=keaabkd,士林未來捷運海光公園一樓,1850萬,3房2廳2衛(含加蓋1衛)28.11坪(建坪),台北市士林區葫蘆街 , 公寓 , 46.8年 , 1 / 4樓,,,
