抓取時間,超連結,物件標題,地址,屋齡,物件類型,原始坪數,實際坪數,格局,總樓層,所在樓層,物件被點擊次數,額外資訊1,額外資訊2,額外資訊3,現在價格
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/53838S/?breadcrumb=list,永鼎帝京實品屋,新北市新莊區中正路,8.3,年大樓,60.65,40.633,3房2廳2衛,22,14,328,廁所開窗,警衛管理,具垃圾處理,"5,421"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/9454ZW/?breadcrumb=list,名人大廈挑高採光兩房,新北市蘆洲區中山一路,34.3,年大樓,18.5,14.322,2房2廳1衛,11,11,197,有裝潢,有景觀,有陽台,"1,290"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/66924Y/?breadcrumb=list,新月大河河景３房,新北市新莊區瓊林路,預售,預售大樓,29.83,19.543,3房2廳2衛,15,4,2,近公園,有2D/3D看屋,近公園,"2,081"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/01814J/?breadcrumb=list,新月大河邊間３房,新北市新莊區瓊林路,預售,預售大樓,27.78,18.23,3房2廳2衛,15,4,2,房間皆有窗,有2D/3D看屋,房間皆有窗,"1,813"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/3711RV/?breadcrumb=list,近學區公寓二樓,新北市樹林區名園街,43.8,年公寓,23.33,23.333,3房2廳1衛,5,2,762,有裝潢,前後陽台,有陽台,850
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/6774UB/?breadcrumb=list,秀朗時尚金店面秀朗時尚,新北市永和區永元路,19.2,年店面,43.35,33.231,1廳1衛,14,1,97,有裝潢,有陽台,房間皆有窗,"5,988"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/9028PQ/?breadcrumb=list,輕裝潢成家電梯兩房車位重慶台北,新北市板橋區國慶路,30.0,年大樓,28.7,15.682,2房2廳1衛,12,7,1474,有裝潢,房間皆有窗,警衛管理,"1,598"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/8666TW/?breadcrumb=list,歐洲巴黎樂章裝潢四房車位歐洲村-巴黎樂章,新北市新莊區中平路,19.4,年大樓,46.12,27.44,4房2廳1衛,13,2,1322,有裝潢,廁所開窗,警衛管理,"2,568"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/8064VU/?breadcrumb=list,前後陽台．明亮電梯３房雙鳳生源,新北市新莊區鳳山街,24.7,年大樓,40.64,29.393,3房2廳2衛,14,3,769,有裝潢,有景觀,前後陽台,"1,888"
2025-02-24 11-47-24,https://www.sinyi.com.tw//buy/house/95954T/?breadcrumb=list,㊣芬蘭極光★高樓層誠售麗寶北歐莊園-芬...,新北市板橋區華江一路,2.2,年辦公,32.62,13.512,2房1廳1衛,18,14,1250,有裝潢,有陽台,警衛管理,"1,888"
