抓取時間,超連結,物件標題,地址,屋齡,物件類型,原始坪數,實際坪數,格局,總樓層,所在樓層,物件被點擊次數,額外資訊1,額外資訊2,額外資訊3,現在價格
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/38187E/?breadcrumb=list,公園居綠景溫馨美三房公園居,新北市淡水區中山北路二段,11.8,年大樓,46.36,25.853,3房2廳2衛,12,9,186,有裝潢,有景觀,有陽台,"1,698"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/1038VV/?breadcrumb=list,【誠售】碧瑤名園四房車位碧瑤名園B區,新北市新莊區中和街,25.1,年華廈,53.31,35.34,4房2廳1衛,8,6,2039,有裝潢,有景觀,前後陽台,"2,398"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/30779J/?breadcrumb=list,買得起的夢想～２房車位水丰景,新北市三重區神農街,4.6,年大樓,29.42,13.082,2房2廳1衛,15,9,1303,有裝潢,有陽台,房間皆有窗,"1,728"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/8656MV/?breadcrumb=list,精裝波爾多三房車位金莊波爾多花園,新北市新莊區中正路,19.0,年大樓,60.18,37.193,3房2廳2衛,13,2,180,有裝潢,前後陽台,有陽台,"3,098"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/4742RW/?breadcrumb=list,榮耀巴黎。豪邸三房車位榮耀巴黎二期,新北市蘆洲區光復路,18.7,年華廈,48.57,27.653,3房2廳2衛,10,2,379,有裝潢,有景觀,有陽台,"3,288"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/1096LQ/?breadcrumb=list,綠色生活三房車位綠色生活,新北市汐止區忠孝東路,27.9,年華廈,41.6,26.43,3房2廳2衛,8,3,518,有裝潢,有陽台,房間皆有窗,"1,750"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/7953LU/?breadcrumb=list,大同莊園溫馨美屋大同莊園,新北市土城區莊園街,5.6,年大樓,43.83,22.373,3房2廳1衛,24,15,503,有裝潢,有景觀,有陽台,"2,880"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/3211UQ/?breadcrumb=list,近徐匯公寓４樓,新北市蘆洲區中山一路,49.3,年公寓,19.97,19.972,2房1廳1衛,4,4,1225,有裝潢,有陽台,廁所開窗,998
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/8064VU/?breadcrumb=list,雙鳳生源．明亮３房雙鳳生源,新北市新莊區鳳山街,24.5,年大樓,40.64,29.393,3房2廳2衛,14,3,605,有裝潢,有景觀,前後陽台,"1,998"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/3776RZ/?breadcrumb=list,親子溫馨美裝兩房海牙社區,新北市新莊區中和街,31.5,年大樓,29.27,19.432,2房2廳2衛,18,18,1378,有裝潢,有景觀,前後陽台,"1,566"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/1069CG/?breadcrumb=list,民族稀有２Ｆ公寓,新北市汐止區民族六街,43.8,年公寓,27.68,27.683,3房2廳1衛,5,2,126,有裝潢,前後陽台,有陽台,"1,180"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/58252S/?breadcrumb=list,恆隆藴樓中樓露臺,新北市板橋區環河西路四,--,--大樓,60.09,37.364,4房2廳2衛,19,18,1270,有景觀,有陽台,廁所開窗,"4,747"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/1900PS/?breadcrumb=list,史丹佛‧稀有高樓景觀史丹佛,新北市板橋區新府路,17.1,年大樓,90.42,46.254,4房2廳3衛,24,15,819,有裝潢,有景觀,前後陽台,"7,200"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/5882CT/?breadcrumb=list,尚海高樓景觀大戶尚海,新北市淡水區淡金路,17.3,年大樓,78.98,43.743,3房2廳2衛,19,14,721,有裝潢,有景觀,房間皆有窗,"2,750"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/24033P/?breadcrumb=list,恆隆藴樓中樓露臺,新北市板橋區環河西路四,--,--大樓,48.55,30.413,3房2廳2衛,19,18,1399,有景觀,有陽台,警衛管理,"3,739"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/2282MQ/?breadcrumb=list,敦美鄉村風電梯兩房車位敦美,新北市板橋區國慶路,12.2,年大樓,47.36,23.622,2房2廳2衛,15,10,456,有裝潢,有景觀,廁所開窗,"2,780"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/5367HW/?breadcrumb=list,普羅旺斯‧輕軌‧三房車位普羅旺斯,新北市淡水區新市一路三段,16.5,年大樓,46.84,26.53,3房2廳2衛,15,8,389,有景觀,前後陽台,有陽台,"1,485"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/4330NZ/?breadcrumb=list,帝國花園輕裝潢三房帝國花園,新北市板橋區華江一路,1.2,年大樓,26.48,16.863,3房2廳1衛,19,11,728,有裝潢,有陽台,警衛管理,"2,330"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/4646KX/?breadcrumb=list,★市區山景邊間漂亮大三房江坡華城,新北市新店區新坡一街,31.1,年大樓,44.15,36.533,3房2廳2衛,12,5,654,有裝潢,有景觀,前後陽台,"1,698"
2024-11-27 21-40-15,https://www.sinyi.com.tw//buy/house/5502WK/?breadcrumb=list,大同公園美寓,新北市三重區重陽路三段,38.0,年公寓,29.93,27.583,3房2廳1衛,5,3,270,有裝潢,近公園,近市場,"1,400"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/6578TU/?breadcrumb=list,路易市三房車位路易市,新北市汐止區樟樹一路,27.7,年大樓,43.11,27.323,3房2廳2衛,13,2,312,有裝潢,有景觀,前後陽台,"1,980"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/3130XY/?breadcrumb=list,上閤築美景三房雙車位上閤築,新北市樹林區佳園路三段,16.9,年大樓,63.39,33.393,3房2廳3衛,15,9,319,有裝潢,有陽台,廁所開窗,"2,328"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/17007A/?breadcrumb=list,專任★捷運新店站金店面,新北市新店區新店路,13.6,年店面,17.45,7.81,1廳1衛,7,1,556,有裝潢,廁所開窗,近公園,"1,499"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/7740TU/?breadcrumb=list,新板城景觀三房車位新板城,新北市板橋區公園街,16.7,年大樓,47.71,26.623,3房2廳2衛,17,13,2569,有裝潢,有景觀,有陽台,"3,250"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/8414FB/?breadcrumb=list,頂溪⭐小資成家電梯美２房,新北市永和區中山路一段,37.4,年華廈,21.26,17.62,2房2廳1衛,10,7,6517,有裝潢,有陽台,廁所開窗,"1,588"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/9107PU/?breadcrumb=list,特區旁三面採光３房＋１室薪市鎮,新北市板橋區板新路,26.2,年大樓,38.57,31.013,3房2廳2衛,12,3,1891,有裝潢,前後陽台,有陽台,"2,880"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/1485YR/?breadcrumb=list,『大河渥』渡假美屋快來看,新北市八里區龍米路一段,3.9,年大樓,36.76,15.851,1房2廳1衛,18,11,398,有裝潢,有景觀,有陽台,"1,498"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/3897XU/?breadcrumb=list,公園景觀｜挑高精裝美屋台北HIGH客,新北市三重區集仁街,17.1,年大樓,41.62,19.052,2房2廳1衛,11,4,475,有景觀,有陽台,廁所開窗,"2,580"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/4210NN/?breadcrumb=list,左岸丰帆渡假豪景左岸丰帆,新北市八里區觀海大道,11.8,年大樓,88.2,43.091,1房2廳2衛,15,5,393,有裝潢,有景觀,前後陽台,"2,300"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/87022S/?breadcrumb=list,四維公園旁．機能便利公寓,新北市新莊區四維路,47.1,年公寓,27.76,27.763,3房2廳1衛,4,4,1847,有景觀,有陽台,廁所開窗,968
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/48226W/?breadcrumb=list,信義尊爵四房車位信義尊爵,新北市蘆洲區信義路,15.0,年大樓,57.21,31.814,4房2廳2衛,14,3,475,有裝潢,有陽台,廁所開窗,"3,499"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/7138NR/?breadcrumb=list,近北大‧景觀大四房上北大,新北市三峽區大觀路,17.8,年大樓,71.52,45.064,4房2廳2衛,14,10,616,有裝潢,有景觀,前後陽台,"2,838"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/9088YT/?breadcrumb=list,溪崑一街稀有方便一樓,新北市板橋區溪崑一街,48.6,年公寓,22.93,19.393,3房2廳1衛,4,1,1994,有裝潢,有陽台,廁所開窗,"1,438"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/3281QU/?breadcrumb=list,獨家專～康莊景觀邊間四房康莊,新北市土城區裕民路,30.9,年大樓,43.31,33.364,4房2廳2衛,16,12,746,有裝潢,有景觀,前後陽台,"2,338"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/8667WW/?breadcrumb=list,近未來捷運莒光站三房車位壽德新村乙區,新北市中和區壽德街,23.7,年大樓,44.48,27.613,3房2廳2衛,14,2,2528,有裝潢,有陽台,警衛管理,"1,998"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/2106RF/?breadcrumb=list,漢生東路面路稀有釋出,新北市板橋區漢生東路,44.8,年公寓,27.33,27.333,3房2廳1衛,5,4,373,有景觀,具垃圾處理,近公園,"1,780"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/7200UZ/?breadcrumb=list,絕美～河景愛河４房車位台北愛河,新北市永和區環河東路三段,21.3,年大樓,72.31,46.014,4房2廳2衛,28,8,48,有裝潢,有景觀,前後陽台,"4,860"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/2879KF/?breadcrumb=list,寶石面公園景觀高樓寶石上品苑,新北市蘆洲區集賢路,11.5,年大樓,69.84,40.24,4房2廳2衛,18,13,341,有裝潢,有景觀,前後陽台,"4,980"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/2147FJ/?breadcrumb=list,稀有甜蕃茄四房子母車位甜蕃茄,新北市中和區安平路,27.9,年華廈,56.94,34.674,4房2廳2衛,8,5,819,有裝潢,前後陽台,有陽台,"2,988"
2024-11-27 21-40-21,https://www.sinyi.com.tw//buy/house/7765SM/?breadcrumb=list,大亮時代一期新婚房大亮時代一期,新北市三重區元信二街,3.4,年華廈,18.46,12.21,1房1廳1衛,10,10,609,有裝潢,有景觀,有陽台,"1,460"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/1711UR/?breadcrumb=list,專營．勝華Ｖ８三房溫馨宅勝華V8,新北市淡水區義山路一段,0.9,年大樓,42.64,20.973,3房2廳2衛,14,10,58,有裝潢,有景觀,有陽台,"1,598"
