抓取時間,超連結,物件標題,地址,原始坪數,實際坪數,格局,價格
2024/11/28 09:15,https://www.twhg.com.tw/house_TC02369203.html?city=Taipei&zip=111&type=2,天母投資屋,台北市士林區中山北路七段,建坪 : 37.55坪 , 主 + 附 : 31.73坪,5房0廳5.0衛,2700萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334014.html?city=Taipei&zip=104&type=4,中山捷運美妝三房,台北市中山區新生北路三段,建坪 : 27.87坪 , 主 + 陽 : 23.84坪,3房2廳2.0衛,2310萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02433614.html?city=Taipei&zip=116&type=11,景美市中心露台+車,台北市文山區景文街,建坪 : 41.64坪 , 主 + 陽 : 20.05坪,0房0廳2.0衛,2580萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02368212.html?city=Taipei&zip=106&type=4,文藝方正美四房,台北市大安區基隆路二段,建坪 : 50.14坪 , 主 + 陽 : 43.05坪,4房2廳2.0衛,4380萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334000.html?city=Taipei&zip=110&type=1,翠亨御園捷運美廈,台北市信義區忠孝東路四段,建坪 : 55.65坪 , 主 + 陽 : 50.85坪,4房2廳2.5衛,5488萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334021.html?city=Taipei&zip=100&type=1,古亭捷運溫馨三房,台北市中正區晉江街,建坪 : 28.41坪 , 主建物 : 28.41坪,3房2廳2.0衛,2550萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334003.html?city=Taipei&zip=105&type=2,新光溫馨小資宅,台北市松山區民生東路五段,建坪 : 8.10坪 , 主 + 陽 : 6.65坪,1房1廳1.0衛,1088萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334013.html?city=Taipei&zip=104&type=4,新生景觀華廈,台北市中山區新生北路三段,建坪 : 43.75坪 , 主 + 陽 : 38.80坪,4房2廳2.0衛,3998萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334004.html?city=Taipei&zip=106&type=2,光南住辦大五房,台北市大安區光復南路,建坪 : 47.54坪 , 主 + 陽 : 40.13坪,5房1廳2.0衛,4160萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334012.html?city=Taipei&zip=105&type=1,撫遠街黃金三樓,台北市松山區撫遠街,建坪 : 27.15坪 , 主建物 : 27.15坪,3房2廳2.0衛,2438萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333982.html?city=Taipei&zip=104&type=2,京華低總電梯三房,台北市中山區民權東路二段,建坪 : 22.20坪 , 主 + 陽 : 17.60坪,3房2廳1.0衛,1999萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02414933.html?city=Taipei&zip=111&type=11,宏國芝園邊間下疊,台北市士林區德行東路,建坪 : 64.61坪 , 主 + 陽 : 62.15坪,6房3廳4.0衛,3980萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334002.html?city=Taipei&zip=104&type=1,松江南京溫馨2+1房,台北市中山區長安東路二段,建坪 : 15.85坪 , 主建物 : 14.08坪,3房2廳1.0衛,1988萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334008.html?city=Taipei&zip=106&type=2,中正高樓電梯三房,台北市大安區信義路二段,建坪 : 44.52坪 , 主 + 陽 : 36.79坪,3房2廳2.0衛,5588萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02406404.html?city=Taipei&zip=106&type=11,專約忠孝敦化中聯大樓,台北市大安區忠孝東路四段,建坪 : 49.51坪 , 主 + 陽 : 41.98坪,0房0廳1.0衛,5998萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333966.html?city=Taipei&zip=110&type=2,逸仙溫馨大兩房,台北市信義區光復南路,建坪 : 23.04坪 , 主 + 陽 : 15.77坪,2房2廳1.0衛,2880萬
